1	2	3	4	5	6	7	8	target_id
2899	2862	2773	2942	2812	2808	2765	2742	ENST00000000233
3736	3459	3844	3867	3868	3667	3961	3811	ENST00000000412
566	589	569	586	575	573	562	571	ENST00000000442
8390	8066	7872	8147	8156	8280	8253	7768	ENST00000001008
0	0	0	0	0	0	0	0	ENST00000001146
439	532	534	428	510	475	564	504	ENST00000002125
1420	1131	1283	1330	1348	1212	1285	1279	ENST00000002165
1941	1841	1690	1870	1683	1926	2017	1800	ENST00000002501
20	14	17	4	22	10	32	16	ENST00000002596
0	0	0	0	0	0	0	0	ENST00000002829
0	0	0	0	0	0	0	0	ENST00000003084
3280	3118	3383	3035	5167	5263	4801	4720	ENST00000003100
101	44	59	101	84	84	78	111	ENST00000003302
0	0	0	0	0	0	0	0	ENST00000003583
360	367	350	400	296	344	298	353	ENST00000003912
0	3	0	9	9	1	24	5	ENST00000004103
0	0	0	0	0	0	0	0	ENST00000004531
0	0	0	0	0	0	0	0	ENST00000004921
379	335	343	366	2286	2404	1771	2073	ENST00000004980
19	35	30	22	20	15	21	19	ENST00000004982
192	271	229	278	279	287	230	234	ENST00000005082
1	0	2	0	0	0	2	4	ENST00000005178
0	0	0	0	0	0	0	0	ENST00000005180
0	0	0	0	0	0	0	0	ENST00000005226
1369	1884	1602	1720	1613	1673	1582	1667	ENST00000005257
209	173	256	246	212	223	230	210	ENST00000005259
1538	1436	1637	1573	4244	4792	4406	5008	ENST00000005260
0	0	0	5	0	0	0	0	ENST00000005284
101	96	109	101	91	92	104	112	ENST00000005286
1257	1313	1316	1254	1265	1246	1199	1204	ENST00000005340
17	3	8	7	17	13	15	9	ENST00000005374
3791	3355	3769	3648	853	965	882	905	ENST00000005386
25	90	30	39	46	22	25	26	ENST00000005558
0	0	0	0	0	0	0	0	ENST00000005756
0	0	0	0	0	0	0	0	ENST00000005995
0	0	0	0	0	0	0	0	ENST00000006015
979	893	882	895	991	1023	1012	950	ENST00000006053
104	76	67	55	84	81	91	52	ENST00000006101
629	628	645	707	2044	2159	2343	2433	ENST00000006251
744	658	725	666	684	679	694	584	ENST00000006275
273	341	364	334	304	349	385	393	ENST00000006658
0	0	0	0	0	0	0	0	ENST00000006724
1053	960	1042	1027	1007	1014	908	1030	ENST00000006750
401	369	371	303	395	364	393	306	ENST00000006777
3	1	0	0	0	0	1	1	ENST00000006967
707	713	688	666	771	837	755	586	ENST00000007264
1877	1748	1771	1659	1858	1834	1744	1727	ENST00000007390
337	322	317	350	385	333	372	265	ENST00000007414
10	30	11	15	12	2	30	21	ENST00000007510
2417	2437	2440	2406	2558	2435	2264	2506	ENST00000007516
0	0	0	0	0	0	0	0	ENST00000007633
0	0	0	0	0	0	0	0	ENST00000007660
0	0	0	0	0	0	0	0	ENST00000007699
897	690	730	743	202	154	162	130	ENST00000007708
0	0	0	0	0	0	0	0	ENST00000007722
0	0	0	0	0	0	0	0	ENST00000007735
190	218	200	193	1395	1275	1291	1574	ENST00000007969
131	166	157	153	111	119	149	125	ENST00000008180
0	0	0	0	0	0	0	0	ENST00000008391
0	0	0	0	0	0	0	0	ENST00000008440
126	159	142	179	212	218	186	197	ENST00000008527
0	0	0	0	0	0	0	0	ENST00000008876
0	0	0	0	0	0	0	0	ENST00000008938
1635	1336	1335	1300	427	476	409	413	ENST00000009041
0	0	0	0	0	0	0	0	ENST00000009105
876	881	941	747	890	904	853	892	ENST00000009180
10078	10104	10168	10303	10276	9942	9997	10248	ENST00000009530
41748	41609	41046	41970	41837	41256	42240	42020	ENST00000009589
7	18	4	6	27	37	16	19	ENST00000010132
0	0	0	0	0	0	0	0	ENST00000010299
155	204	132	169	253	195	238	200	ENST00000010338
0	0	0	0	0	0	0	0	ENST00000010404
0	0	0	0	0	0	0	0	ENST00000011292
6	18	10	7	10	7	18	14	ENST00000011473
1664	1710	1644	1718	983	1073	983	1117	ENST00000011619
3887	4056	3990	4118	11884	11319	10942	11610	ENST00000011653
108	150	147	119	170	134	129	128	ENST00000011684
1021	1237	1121	1076	762	748	680	765	ENST00000011691
327	248	349	301	365	332	352	315	ENST00000011700
0	0	0	0	0	0	0	0	ENST00000011898
0	0	0	0	0	0	0	0	ENST00000011989
651	591	711	703	573	688	705	613	ENST00000012049
413	460	553	460	1155	1060	1162	1096	ENST00000012134
2398	2285	2254	2147	2282	2350	2080	2133	ENST00000012443
0	0	0	0	0	0	0	0	ENST00000013034
2857	2966	2977	3117	2812	3015	2804	3007	ENST00000013070
960	1011	962	967	1006	995	953	1030	ENST00000013125
6	12	17	20	138	116	73	79	ENST00000013222
284	321	322	321	2235	2179	2448	2208	ENST00000013807
174	175	209	195	174	161	227	305	ENST00000014914
0	4	0	3	6	2	1	3	ENST00000014930
56	70	46	61	86	47	72	66	ENST00000014935
426	579	465	549	528	506	498	510	ENST00000016171
0	0	0	0	0	0	0	0	ENST00000016913
98	139	99	130	122	103	106	143	ENST00000016946
1375	1112	1181	1293	1235	1181	1116	1268	ENST00000017003
28	30	24	47	35	31	34	43	ENST00000019019
0	0	0	0	0	0	0	0	ENST00000019103
0	0	0	0	0	0	0	0	ENST00000019317
0	0	0	0	0	0	0	0	ENST00000020673
0	0	0	0	0	0	0	0	ENST00000020926
0	0	0	0	0	0	0	0	ENST00000020945
5687	5398	5487	5689	7212	7270	7237	7282	ENST00000022615
0	0	0	0	0	0	0	0	ENST00000023064
0	0	0	0	0	0	0	0	ENST00000023897
3422	3432	3633	3516	3648	3648	3427	3515	ENST00000023939
0	0	0	0	0	0	0	0	ENST00000024061
382	293	461	397	331	367	378	361	ENST00000025008
1650	1580	1802	1569	5696	5613	5814	6375	ENST00000025301
5	19	4	2	1	7	1	3	ENST00000025399
550	463	574	625	511	537	531	543	ENST00000025469
246	280	281	259	260	262	174	203	ENST00000026218
8	3	16	9	21	8	19	6	ENST00000027335
545	540	469	497	1310	1129	1478	1484	ENST00000029410
10	38	10	8	13	19	6	10	ENST00000031135
1771	1851	1950	1858	7343	7392	6655	7356	ENST00000031146
846	845	762	823	732	808	775	830	ENST00000033079
164	136	125	193	738	627	553	586	ENST00000034275
741	748	751	796	812	845	766	749	ENST00000035307
0	0	0	0	0	0	0	0	ENST00000035383
3574	3403	3344	3323	3552	3384	3381	3356	ENST00000037243
3448	3838	3577	3537	3752	3545	3521	3329	ENST00000037502
2084	2117	2167	2007	1880	2139	1867	2003	ENST00000037869
1575	1660	1598	1666	1815	1611	1647	1737	ENST00000038176
0	0	0	0	0	0	0	0	ENST00000039007
3803	3427	3728	3579	864	893	925	862	ENST00000039989
